NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
STRAUMANN HLDG.;CH1175448666;N/A;N/A;N/A;N/A;N/A;N/A;N/A;528;528;934;1098;972;828;891;761;782;779;1116;1102;1204;1185;1171;4988;5970;6906;8781;8781
DSM FIRMENICH;CH1216478797;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;610000;570000;606600;594400;594400
SGS 'N';CH1256740924;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;65913;72526;99100;109753;109229;108000;111000;113000;114000;118000;113444;98273;104575;108046;103387;101320;101320
UNITED INTERNET;DE0005089031;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;2311,1;2827,8;4643,3;4337,6;4757;3734;5076;4938;6497,68;6497,68
DEUTSCHE BANK;DE0005140008;N/A;N/A;N/A;N/A;N/A;N/A;N/A;29903;28781;27235;36938;99663;99256;94025;70286;64171;50305;59008;52071;50639;50273;39875;31122;22749;15636;16978;16978
BMW;DE0005190003;N/A;N/A;N/A;N/A;N/A;N/A;408034;349927;354617;375426;357793;409911;450829;484612;492798;494931;536168;562146;562146;562146;678403;678967;699713;694057;713933;672542;672542
BEIERSDORF;DE0005200000;N/A;N/A;N/A;N/A;N/A;N/A;27868;26871;28732;24688;21165;21751;21427;22071;27240,83;35495,46;76465,86;84557;96180;96585,9;92274,64;93057;100458;90348,81;77515,07;73072;73072
LEONI DEAD - DELIST.21/08/23;DE0005408884;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;4905;17406;8335;12572;223320,3;223320,3;32805;29988;24594;22122;24884;23183;35124;20600;20600;20600;20600
CONTINENTAL;DE0005439004;N/A;N/A;N/A;N/A;N/A;N/A;450000;400000;450000;490000;440000;480000;516992;591681;659000;662000;715000;794000;820000;880000;840000;780000;820000;760000;690000;690000;690000
LANXESS;DE0005470405;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1638000;1906000;1935000;1913000;1837000;1845000;1643000;1737000;1799000;1490000;1459000;1263000;1284000;843000;725000;854000;854000
