NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
RHOEN-KLINIKUM;DE0007042301;559001;598668;624396;600197;944153;1189770;1361755;1711365;2508010;3001351;2727908;3237030;3521805;3463077;3923818;4074100;1713405;1207979;1271276;1506288;1413918;1441794;1636069;1583804;1582120;1581470;1645780
MERCEDES-BENZ GROUP N;DE0007100000;149626690;145803974;151557359;131641221;160579074;169746598;185154598;181043533;196717230;147338623;122768032;110115669;134996529;140335547;156542730;159487987;147315776;162926214;165628648;204386881;191933313;191013951;185610800;151254509;164129189;165514409;150170988
SAP;DE0007164600;4914325;4967759;5846915;6321276;7957767;8739587;9794120;10289500;12198974;15181664;14809303;14889697;17211329;18747849;22219242;22730506;19918574;22665369;23842329;29179825;28335514;30466916;32883552;31452190;33775053;33711497;35250379
SIEMENS;DE0007236101;68325619;66669824;73169097;75335500;87893756;91714198;97969968;95654170;87681733;109866210;100599536;103760481;107867697;96912404;106373782;98471821;81745555;84055786;86317402;103820277;95572152;96256126;66938682;73079291;80468893;84379747;78256130
CECONOMY;DE0007257503;53236489;42583327;43801032;42644133;55313755;66679632;73521464;67354635;77695106;95366402;87019540;91426812;92875447;87860538;91406644;83488720;67522378;63220607;63018663;26923646;24498270;23660983;25828829;23441721;24047672;23938436;23751923
SUEDZUCKER;DE0007297004;4753793;4378058;4215464;4016240;4873635;5489639;6141973;6319287;7392596;8539056;7674331;8007258;8213356;8874307;10675727;10626494;7821330;7078227;6855075;8548230;7881947;7287048;8097235;8166363;9918735;10987159;10289612
HEIDELB.DRUCKMASCHINEN;DE0007314007;3991465;3838329;4294928;4589495;4667157;4579779;4678764;4125045;4850304;5604671;4242830;3320374;3588711;3367999;3683736;3399433;2611195;2815932;2582453;3110766;2816755;2750561;2343696;2473032;2568256;2583968;2287727
THYSSENKRUPP;DE0007500001;N/A;28963551;34728161;32729256;39782190;45012950;50818165;52920808;62946763;76576833;67455638;53564958;61642629;56114461;55848735;52015886;47831801;46089412;43013888;42402224;47880688;37566980;31930894;40348318;45004594;39644254;35781569
WASHTEC;DE0007507501;124548;111074;248777;220581;252817;299968;276019;272923;339113;414617;365104;357639;370648;386288;412988;405146;343297;371555;402867;528580;499376;482641;455486;486358;527604;528750;491881
VOLKSWAGEN PREF.;DE0007664039;77931587;73071188;79850768;78998682;96621404;111917771;115951179;115156336;136072179;161417459;145734296;146758108;175199565;209880281;263891677;266313928;229651175;232498531;234799717;286912763;270475257;279349541;268096337;282642694;305499522;348148689;334862099
