NAME;ISIN;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
SWISS LIFE HOLDING;CH0014852781;375,69;268,76;435,97;175,92;48,54;147,76;127,87;159,85;227,53;220,97;51,73;132,65;171,64;109,48;169,24;242,91;262,92;305,2;385,08;489,38;560,05;707,23;696,75;1014,8;970,14;1218,63;1459,7
PSP SWISS PROPERTY AG;CH0018294154;N/A;N/A;61,84;58,52;78,81;103,53;128,39;142,57;189,84;193,04;140,92;214,02;299;335,61;395,14;368,57;461,67;386,71;430,99;475,37;526,94;806,32;707,82;673,94;744,82;797,85;919,27
EFG INTERNATIONAL N;CH0022268228;N/A;N/A;N/A;N/A;N/A;N/A;N/A;69,21;91,69;79,07;30,41;38,21;38,24;23,94;32,65;38,15;29,3;22,68;17,45;33,03;18,8;20,25;24,48;27,55;34,59;51,25;62,76
PARTNERS GROUP HOLDING;CH0024608827;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;134,88;155,92;79,86;167,23;240,96;246,78;340,36;338,61;412,13;559,62;813,08;1249,27;1151,89;1602,73;2181,06;2627,57;1946,51;2656,4;3073,11
SCHINDLER 'R';CH0024638212;938,92;865,85;974,83;859,16;1130,13;1726,73;2296,71;2727,47;4224,77;3990,47;2820,98;5283,15;7960,67;8539,63;11048,83;11030,8;11107,1;12090,71;14910,12;19661,87;17542,11;21045,07;23042,02;22279,83;19169,15;21819,37;25927,54
KUEHNE UND NAGEL INTERNATIONAL;CH0025238863;115,62;113,6;184;159,07;204,57;420,73;705,97;1000,37;1407,1;1682,85;1010,18;1878,28;2581,84;2636,27;2564,62;2884,36;3184,72;3161,46;3435,55;4691,76;3693,18;4502,13;6673,42;8408,49;8081,92;10630,44;7453,69
LOGITECH 'R';CH0025751329;79,09;328,5;406,92;556,67;436,01;642,36;805,61;1067,12;1501,68;1575,96;488,87;875,37;990,7;419,44;387,21;897,43;860,86;906,02;1826,3;2668;2334,23;2994,84;7304,24;5556,9;4172,59;5929,53;6950,87
GEBERIT 'R';CH0030170408;N/A;100,4;84,4;65,8;92,11;180,14;249,98;325,99;616,48;519,96;346,96;711,2;843,86;878,16;1024,05;1265,63;1543,96;1635,83;2021,88;2274,04;1949,9;2720,33;3250,55;3659,53;3267,78;3217,57;3191,71
SULZER 'R';CH0038388911;595,28;706,32;735,85;174,51;145,65;295,52;464,57;723,31;1679,47;1291,29;593,3;1122,43;1835,11;1740,68;2248,74;2142,55;1578,35;1321,28;2051,25;2671,74;1799,69;2255,06;2393,51;3209,23;3100,23;3645,35;5952,76
NESTLE 'N';CH0038863350;1833,21;1649,57;2121,13;2230,89;2167,9;2821,07;2895,38;3238,81;4229,34;5370,31;4056,49;5991,63;7098,44;7673,77;9714,82;10319,31;11263,57;11157,86;11328,61;13667,52;14376,1;18798,64;19862,37;23415,61;22051,28;21335,05;16511,58
CHUBB;CH0044328745;311,42;202,5;449,8;471,07;366,27;548,3;564,45;711,55;782,08;804,18;598,04;704,19;908,92;1078,52;1306,69;1446,25;1749,77;1845,02;2192,44;2620,54;2334,84;2732,39;2755,02;3864,75;3978,49;4748,66;5343,45
TRANSOCEAN;CH0048265513;244,36;326,71;428,41;288,18;214,02;259,77;422,34;738,2;724,82;1118,4;478,24;794,76;714,6;455,31;548,89;415,51;182,63;101,64;154,31;115,9;97,82;52,22;34,82;39,31;78,28;57,73;42,57
JULIUS BAER GRUPPE;CH0102484968;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;87,06;123,5;110,94;117,26;131,53;128,46;118,33;142,59;213,12;127,33;159,54;210,86;216,54;252;215,86;251,24
SWISS RE;CH0126881561;3981,77;2818,37;3747,28;2949,44;2178,66;2485,92;2454,8;2599,57;3070,15;2903,45;992,86;1842,21;2338,97;2436,81;3428,21;4337,27;4964,32;5466,87;5982,47;6604,85;6792,24;8396,19;7293,61;9521,39;9618,84;11180,91;15917,78
COCA-COLA HBC;CH0198251305;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;150,83;95,94;125,51;139,02;208,88;221,66;253,3;217,59;248,22;181,87;228,88;283,83
RICHEMONT N;CH0210483332;367,37;552,5;586,58;429,56;384,17;578,53;735,85;1109,9;1419,26;1494,71;841,49;2171,76;3395,86;3712,52;5331,35;5763,69;5338,67;4122,77;5173,4;6561,69;4889,6;5320,78;6919,57;11263,84;12118,09;11865,86;15754,8
UBS GROUP;CH0244767585;1379,39;1084,68;1559,47;1231,02;1220,13;2058,04;2410,59;3228,41;3931,86;2611,06;803,92;972;1320,28;1016,4;1269,6;1407,9;1240,39;1168,26;1289,34;1708,29;1129,91;1145,35;1451,8;2053,2;2251,33;3153,09;3788,45
FLUGHAFEN ZURICH;CH0319416936;329,23;249,58;201,41;77,95;32,31;85,88;175,71;268,32;491,8;522;324,84;423,65;642,8;594,83;726,39;966,87;1127,55;1236,06;1740,95;2276,63;1624,89;1690,51;1644,29;1799,55;1789,7;2055,57;2429,36
SIKA;CH0418792922;997,74;1338,02;1184,73;857,64;1123,62;2027,5;2880,66;4507,51;8220,07;7599,56;3742,98;7938,25;11332,99;11392,6;13815,52;18503,18;19104,31;20921,32;31212,24;50343,01;48591,44;67420,3;106247,98;132393,83;115281,29;106789,89;97943,55
