formation_year,oos_year,ISIN,NAME,weight
2013,2014,GB0001859296,VISTRY GROUP,0.0
2013,2014,GB0002074580,GENUS,0.023202406217165
2013,2014,GB0002148343,RATHBONES GROUP,4.780151601408586e-19
2013,2014,GB0002318888,CRANSWICK,0.0
2013,2014,GB0002374006,DIAGEO,7.198133358196508e-19
2013,2014,GB0002418548,ELEMENTIS,5.576261474191427e-19
2013,2014,GB0002634946,BAE SYSTEMS,6.31804684337896e-18
2013,2014,GB0002652740,DERWENT LONDON,0.0
2013,2014,GB0002670437,DEVRO DEAD - DELIST.14/04/23,0.011901907850322942
2013,2014,GB0002869419,BIG YELLOW GROUP,1.3863961738769688e-18
2013,2014,GB0002875804,BRITISH AMERICAN TOBACCO,3.4014424108061698e-18
2013,2014,GB0003096442,RS GROUP,1.768115102043699e-18
2013,2014,GB0003308607,SPECTRIS DEAD - DELIST.05/12/25,1.627962230007375e-18
2013,2014,GB0003452173,FIRST GROUP,3.4941483987408034e-18
2013,2014,GB0003753778,GO-AHEAD GROUP DEAD - DELIST.11/10/22,0.0
2013,2014,GB0004052071,HALMA,0.0
2013,2014,GB0004082847,STANDARD CHARTERED,2.7886501612482603e-19
2013,2014,GB0004161021,HAYS,0.0
2013,2014,GB0004478896,HUNTING,0.0
2013,2014,GB0004544929,IMPERIAL BRANDS,1.446717733700577e-18
2013,2014,GB0004657408,MITIE GROUP,4.216943595971726e-18
2013,2014,GB0004726096,SPIRENT COMMUNICATIONS DEAD - DELIST.17/10/25,0.0
2013,2014,GB0004866223,KELLER,9.694018746894115e-19
2013,2014,GB0004915632,KIER GROUP,0.0
2013,2014,GB0005405286,HSBC HOLDINGS,1.6411567988018437e-18
2013,2014,GB0005576813,HOWDEN JOINERY GP.,1.4343944342863578e-18
2013,2014,GB0005603997,LEGAL & GENERAL,1.86955170507434e-18
2013,2014,GB0005746358,MCBRIDE,0.0
2013,2014,GB0005758098,MEGGITT DEAD - DELIST.14/09/22,0.0
