ISIN,NAME,Minimum-Variance,Minimum-Variance 50% CF Reduction,weight_change,comparison,Value-Weighted,Value-Weighted 50% CF Reduction,Value-Weighted Net Zero
CH0319416936,FLUGHAFEN ZURICH,2.1938294933734352e-18,0.0,-2.1938294933734352e-18,Minimum-Variance 50% CF Reduction,,,
BE0003797140,GBL NEW,2.1844171082883523e-18,0.0,-2.1844171082883523e-18,Minimum-Variance 50% CF Reduction,,,
FR0000120578,SANOFI,2.0871858514203587e-18,0.0,-2.0871858514203587e-18,Minimum-Variance 50% CF Reduction,,,
GB0001367019,BRITISH LAND,2.0682285011130953e-18,0.0,-2.0682285011130953e-18,Minimum-Variance 50% CF Reduction,,,
GB00B2B0DG97,RELX,2.059792735003232e-18,0.0,-2.059792735003232e-18,Minimum-Variance 50% CF Reduction,,,
FR0000120644,DANONE,2.0015022089929777e-18,0.0,-2.0015022089929777e-18,Minimum-Variance 50% CF Reduction,,,
SE0000106270,HENNES & MAURITZ B,1.9942994659668867e-18,0.0,-1.9942994659668867e-18,Minimum-Variance 50% CF Reduction,,,
NL0013267909,AKZO NOBEL,1.9663721344205077e-18,0.0,-1.9663721344205077e-18,Minimum-Variance 50% CF Reduction,,,
FI0009002422,OUTOKUMPU 'A',1.9096724794285736e-18,0.0,-1.9096724794285736e-18,Minimum-Variance 50% CF Reduction,,,
AT0000A21KS2,CPI EUROPE AGE,1.901736507250265e-18,0.0,-1.901736507250265e-18,Minimum-Variance 50% CF Reduction,,,
CH0010645932,GIVAUDAN 'N',1.883124286583711e-18,0.0,-1.883124286583711e-18,Minimum-Variance 50% CF Reduction,,,
BE0003739530,UCB,1.866303369167349e-18,0.0,-1.866303369167349e-18,Minimum-Variance 50% CF Reduction,,,
FR0000121667,ESSILORLUXOTTICA,1.7938117140060796e-18,0.0,-1.7938117140060796e-18,Minimum-Variance 50% CF Reduction,,,
ES0122060314,FOMENTO CONSTR.Y CNTR.,1.783743484992989e-18,0.0,-1.783743484992989e-18,Minimum-Variance 50% CF Reduction,,,
IE0004906560,KERRY GROUP 'A',1.7410845489233324e-18,0.0,-1.7410845489233324e-18,Minimum-Variance 50% CF Reduction,,,
IT0000784196,BANCA PPO.DI SONDRIO,1.719337317595672e-18,0.0,-1.719337317595672e-18,Minimum-Variance 50% CF Reduction,,,
GB0031743007,BURBERRY GROUP,1.7174938232894626e-18,0.0,-1.7174938232894626e-18,Minimum-Variance 50% CF Reduction,,,
GB00B1KJJ408,WHITBREAD,1.7016156153615815e-18,0.0,-1.7016156153615815e-18,Minimum-Variance 50% CF Reduction,,,
GB0007973794,SERCO GROUP,1.6993252973603785e-18,0.0,-1.6993252973603785e-18,Minimum-Variance 50% CF Reduction,,,
FR0000130809,SOCIETE GENERALE,1.6941666570795196e-18,0.0,-1.6941666570795196e-18,Minimum-Variance 50% CF Reduction,,,
FR0000044448,NEXANS,1.6912895445461396e-18,0.0,-1.6912895445461396e-18,Minimum-Variance 50% CF Reduction,,,
FR0000130577,PUBLICIS GROUPE,1.6768798999757972e-18,0.0,-1.6768798999757972e-18,Minimum-Variance 50% CF Reduction,,,
FR0000125007,SAINT GOBAIN,1.6651434254668507e-18,0.0,-1.6651434254668507e-18,Minimum-Variance 50% CF Reduction,,,
SE0000163594,SECURITAS B,1.6456103106766973e-18,0.0,-1.6456103106766973e-18,Minimum-Variance 50% CF Reduction,,,
DE000A0WMPJ6,AIXTRON,1.627685376512801e-18,0.0,-1.627685376512801e-18,Minimum-Variance 50% CF Reduction,,,
GB00BP9LHF23,SCHRODERS,1.6234287768303548e-18,0.0,-1.6234287768303548e-18,Minimum-Variance 50% CF Reduction,,,
GB00BZ4BQC70,JOHNSON MATTHEY,1.6068531010720203e-18,0.0,-1.6068531010720203e-18,Minimum-Variance 50% CF Reduction,,,
CH0102484968,JULIUS BAER GRUPPE,1.5954000962242897e-18,0.0,-1.5954000962242897e-18,Minimum-Variance 50% CF Reduction,,,
ES0132105018,ACERINOX 'R',1.5903382253110487e-18,0.0,-1.5903382253110487e-18,Minimum-Variance 50% CF Reduction,,,
BE0003755692,AGFA-GEVAERT,1.5776250312074483e-18,0.0,-1.5776250312074483e-18,Minimum-Variance 50% CF Reduction,,,
IT0000062957,MEDIOBANCA BC.FIN,1.577368947637735e-18,0.0,-1.577368947637735e-18,Minimum-Variance 50% CF Reduction,,,
CH0038388911,SULZER 'R',1.560165161642163e-18,0.0,-1.560165161642163e-18,Minimum-Variance 50% CF Reduction,,,
NL0015435975,DAVIDE CAMPARI MILANO,1.5516393649288379e-18,0.0,-1.5516393649288379e-18,Minimum-Variance 50% CF Reduction,,,
IT0003153415,SNAM,1.5400830876438993e-18,0.0,-1.5400830876438993e-18,Minimum-Variance 50% CF Reduction,,,
GB00BYT1DJ19,ICG,1.5343054994344888e-18,0.0,-1.5343054994344888e-18,Minimum-Variance 50% CF Reduction,,,
CH0025751329,LOGITECH 'R',1.5226532574650392e-18,0.0,-1.5226532574650392e-18,Minimum-Variance 50% CF Reduction,,,
GB00B1FW5029,HOCHSCHILD MINING,1.4663110170179123e-18,0.0,-1.4663110170179123e-18,Minimum-Variance 50% CF Reduction,,,
NL0013332471,TOM TOM,1.440672703971286e-18,0.0,-1.440672703971286e-18,Minimum-Variance 50% CF Reduction,,,
NL0006237562,ARCADIS,1.4184596420286283e-18,0.0,-1.4184596420286283e-18,Minimum-Variance 50% CF Reduction,,,
SE0000379190,CASTELLUM,1.38259430953881e-18,0.0,-1.38259430953881e-18,Minimum-Variance 50% CF Reduction,,,
GB00B128J450,IP GROUP,1.3615159325585553e-18,0.0,-1.3615159325585553e-18,Minimum-Variance 50% CF Reduction,,,
DE0006969603,PUMA,1.3501895180132153e-18,0.0,-1.3501895180132153e-18,Minimum-Variance 50% CF Reduction,,,
FR0000127771,VIVENDI,1.328613439660708e-18,0.0,-1.328613439660708e-18,Minimum-Variance 50% CF Reduction,,,
CH0012214059,HOLCIM,1.3252104216848375e-18,0.0,-1.3252104216848375e-18,Minimum-Variance 50% CF Reduction,,,
GB0003718474,GAMES WORKSHOP,1.3167750960255444e-18,0.0,-1.3167750960255444e-18,Minimum-Variance 50% CF Reduction,,,
GB0006963689,PORVAIR,1.2773504888695762e-18,0.0,-1.2773504888695762e-18,Minimum-Variance 50% CF Reduction,,,
FR0010533075,GETLINK,1.243099749032878e-18,0.0,-1.243099749032878e-18,Minimum-Variance 50% CF Reduction,,,
IT0000062072,GENERALI,1.228343511760455e-18,0.0,-1.228343511760455e-18,Minimum-Variance 50% CF Reduction,,,
GB00B0WMWD03,QINETIQ GROUP,1.2177532426075568e-18,0.0,-1.2177532426075568e-18,Minimum-Variance 50% CF Reduction,,,
GB0006215205,MOBICO GROUP,1.210066991060865e-18,0.0,-1.210066991060865e-18,Minimum-Variance 50% CF Reduction,,,
GB00B1YW4409,3I GROUP,1.2092227368347492e-18,0.0,-1.2092227368347492e-18,Minimum-Variance 50% CF Reduction,,,
FR0000121972,SCHNEIDER ELECTRIC,1.2028521071072889e-18,0.0,-1.2028521071072889e-18,Minimum-Variance 50% CF Reduction,,,
SE0007100581,ASSA ABLOY B,1.1810223140753925e-18,0.0,-1.1810223140753925e-18,Minimum-Variance 50% CF Reduction,,,
CH0012221716,ABB LTD N,1.1788225436845597e-18,0.0,-1.1788225436845597e-18,Minimum-Variance 50% CF Reduction,,,
FI0009005987,UPM-KYMMENE,1.1724616916860286e-18,0.0,-1.1724616916860286e-18,Minimum-Variance 50% CF Reduction,,,
NO0010208051,YARA INTERNATIONAL,1.1313081827147908e-18,0.0,-1.1313081827147908e-18,Minimum-Variance 50% CF Reduction,,,
GB00BN7SWP63,GLAXOSMITHKLINE,1.1003551345867919e-18,0.0,-1.1003551345867919e-18,Minimum-Variance 50% CF Reduction,,,
GB0002018363,CLARKSON,1.05038493637502e-18,0.0,-1.05038493637502e-18,Minimum-Variance 50% CF Reduction,,,
GB0008025412,SIG,1.0042562115154934e-18,0.0,-1.0042562115154934e-18,Minimum-Variance 50% CF Reduction,,,
CH0030170408,GEBERIT 'R',9.920076358306224e-19,0.0,-9.920076358306224e-19,Minimum-Variance 50% CF Reduction,,,
