formation_year,ISIN,NAME,weight,carbon_intensity,WACI_contribution
2020,DE0007037129,RWE,0.00205159477923219,4837.023653941413,9.923612475448813
2020,IT0003128367,ENEL,0.00856947144818933,532.6835490218547,4.564816464262945
2020,DE0006047004,HEIDELBERG MATERIALS,0.0013071377512836122,3281.369993080339,4.289202593884557
2020,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.006602940056228206,639.690103666103,4.223835409069685
2020,IE0001827041,CRH PUBLIC LIMITED,0.0028838634653870305,1166.0312636014487,3.362674960599292
2020,FR0000120271,TOTALENERGIES,0.012047563337535207,206.47290610621081,2.4874954137995346
2020,GB0007188757,RIO TINTO,0.0063443202972591085,391.6730670296535,2.484899389045958
2020,IT0003132476,ENI,0.004849047515608337,488.6991029590409,2.36972517108356
2021,CH0012214059,HOLCIM,0.0031128486259057505,4621.6670352996325,14.386549880226365
2021,DE0007037129,RWE,0.002676037488207186,5277.980738103437,14.124074317200233
2021,IT0003128367,ENEL,0.009113564453089773,684.6226763916983,6.239352887342565
2021,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.007034329841514077,631.3550469362581,4.441159647254241
2021,DE0006047004,HEIDELBERG MATERIALS,0.0013469920993694356,3281.346491962472,4.419947799967063
2021,GB00B71N6K86,EVRAZ SUSP - SUSP.06/12/23,0.0009072945104302456,3905.544356269648,3.5434789546852787
2021,IE0001827041,CRH PUBLIC LIMITED,0.002910335352276619,1154.7497415296687,3.3607089958060827
2021,GB0007188757,RIO TINTO,0.008677088674493159,359.2586644314684,3.1173192883518324
2021,FR0000120271,TOTALENERGIES,0.01011358075663159,265.3270027425968,2.6834060691522637
2021,ES0144580Y14,IBERDROLA,0.007903819656649517,319.905659880442,2.528476642836472
2022,CH0012214059,HOLCIM,0.0027046806378996585,2637.76417079708,7.13430968010031
2022,DE0007037129,RWE,0.0022665853166707484,3082.3410228477987,6.9863889033587165
2022,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,0.0065659513442207044,610.1161375395927,4.005992873408833
