ISIN,NAME,emissions_scope1,revenue_musd,market_cap_musd,carbon_intensity,carbon_footprint_coeff,weight,WACI_contribution,formation_year,strategy
BMG850801025,STOLT-NIELSEN,1645512.0,2865.435,1591.08,574.2625465243498,1034.2107247907084,0.0010011690802666578,0.574933905535372,2023,Minimum-Variance
IL0002300114,BEZEQ ISRAELI TELECOMMUNICATION,24796.0,2650.454,4568.01,9.3553783615939,5.428184264044956,0.05293629450415238,0.4952390641471093,2023,Minimum-Variance
CH0012032048,ROCHE HOLDING,240266.0,69564.12,211499.74,3.453878234929156,1.136010852779299,0.13871763009542154,0.4791138033875301,2023,Minimum-Variance
DE0005200000,BEIERSDORF,77515.07,9626.727,30672.26,8.052068994996949,2.527204385982644,0.03858999306655159,0.3107292866883273,2023,Minimum-Variance
IE00BGH1M568,PERRIGO,68712.0,4451.6,4990.63,15.435349087968369,13.768201609816796,0.014599166966118961,0.22534323851558224,2023,Minimum-Variance
GB0001667087,CAMELLIA,146831.0,344.664,159.07,426.01200009284406,923.0590306154523,0.028092822031953804,11.967879302084956,2024,Minimum-Variance
ES0112501012,EBRO FOODS,192836.0,3331.998,2473.25,57.873984318117834,77.96866471242292,0.11199684232755341,6.481703496543542,2024,Minimum-Variance
DE0007042301,RHOEN-KLINIKUM,27423.0,1581.47,705.28,17.34019614662308,38.882429673321234,0.139620873171576,2.421053326957912,2024,Minimum-Variance
BMG850801025,STOLT-NIELSEN,1646734.0,2823.332,2255.45,583.2590711967279,730.1132811634043,0.0016483403687036966,0.96140947246619,2024,Minimum-Variance
IL0002300114,BEZEQ ISRAELI TELECOMMUNICATION,24796.0,2490.462,3656.93,9.956385602350085,6.780550899251558,0.060258364099340225,0.5999555087398403,2024,Minimum-Variance
BE0974256852,COLRUYT GROUP,81336.0,11286.713,5713.25,7.206349625440108,14.236380343937338,0.07608093353978214,0.5482658069175428,2024,Minimum-Variance
CH0012032048,ROCHE HOLDING,245832.0,67831.677,190003.87,3.624147461369708,1.2938262783805403,0.10801449407553172,0.39146045449497163,2024,Minimum-Variance
